"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Density_mg_m3","Flag","Pressure..PSI."
2019-06-24 09:48:11,5.8,10.4901,0.567,6.5619,38.437,27.272391,5.3343,47.79,8.218,294.7794,6.1374,2.87965819052423,1,999.7001,0,NA
2019-06-24 09:48:11,6,10.4747,0.7004,5.9427,37.43,26.53929,5.5212,49.436,8.21,296.2509,4.6329,2.80070131172772,1,999.7022,0,NA
2019-06-24 09:48:11,6.2,10.4502,0.5615,5.3712,36.962,26.182807,5.854,52.375,8.195,299.1455,3.5813,2.76534112862723,1,999.7052,0,NA
2019-06-24 09:48:11,8,10.2283,0.4934,3.6479,38.546,27.145303,5.4115,48.183,8.101,305.0034,0.64531,2.9089552040569,1,999.7343,0,NA
2019-06-24 09:48:11,9,10.02,0.4434,8.0322,63.914,44.715254,1.515,13.418,7.971,313.0036,0.19936,5.0179653694409,1,999.7647,0,NA
2019-06-24 09:48:11,9.3,9.9806,1.5686,24.8142,119.725,83.874025,0.01,0.01,7.842,262.3679,0.12699,9.86750536253488,1,999.7804,0,NA
2019-06-27 09:36:25,0.1,25.4849,1.0012,2.0467,34.806,35.138087,8.3425,101.85,7.208,269.5463,1233.9,1.80513363093286,1,996.9394,0,NA
2019-06-27 09:36:25,1,25.2753,1.7488,2.0537,34.468,34.657299,8.4093,102.284,7.221,272.7025,297.4,1.79460304932124,1,996.9977,0,NA
2019-06-27 09:36:25,1.6,23.312,2.5141,2.3466,35.276,33.995606,12.062,141.113,7.291,264.3045,221.41,1.91953701163424,1,997.4904,0,NA
2019-06-27 09:36:25,2.8,18.8661,4.1995,1.5415,33.32,29.008867,11.8554,126.599,7.389,287.7942,63.301,2.00045208023932,1,998.4615,0,NA
2019-06-27 09:36:25,3.8,15.0594,3.5966,1.1423,33.035,26.239351,10,98.561,7.334,304.9808,31.267,2.17546355575928,1,999.1247,0,NA
2019-06-27 09:36:25,5,10.9591,2.6439,1.3453,41.224,29.631998,5.5352,50.129,7.215,327.2566,12.357,3.06305151426566,1,999.6512,0,NA
2019-06-27 09:36:25,5.2,10.7817,1.6402,2.0932,42.184,30.150101,3.8236,34.464,7.164,330.6647,9.7955,3.15411875870586,1,999.6703,0,NA
